id_prova;questao;resposta_certa;resposta_detectada;correta
23;53;A;A;✓
23;54;C;A;✘
23;55;A;A;✓
23;56;C;C;✓
23;57;A;A;✓
23;58;B;B;✓
23;59;A;A;✓
23;60;A;A;✓
27;1;C;B;✘
27;2;*;D;✘
27;3;E;B;✘
27;4;B;B;✓
27;5;B;B;✓
27;6;A;A;✓
27;7;C;C;✓
27;8;D;C;✘
27;9;C;C;✓
27;10;D;D;✓
27;11;C;C;✓
27;12;E;A;✘
27;13;D;D;✓
27;14;C;C;✓
27;15;B;C;✘
27;16;A;A;✓
27;17;D;D;✓
27;18;C;C;✓
27;19;E;D;✘
27;20;B;A;✘
27;21;E;E;✓
27;22;D;D;✓
27;23;A;A;✓
27;24;B;B;✓
27;25;C;B;✘
27;26;C;C;✓
27;27;C;C;✓
27;28;A;A;✓
27;29;E;E;✓
27;30;D;D;✓
27;31;A;A;✓
27;32;B;B;✓
27;33;B;B;✓
27;34;B;D;✘
27;35;E;E;✓
27;36;D;D;✓
27;37;B;B;✓
27;38;C;D;✘
27;39;E;E;✓
27;40;E;E;✓
27;41;D;D;✓
27;42;B;A;✘
27;43;D;D;✓
27;44;B;A;✘
27;45;A;A;✓
27;46;D;B;✘
27;47;E;D;✘
27;48;B;B;✓
27;49;C;C;✓
27;50;E;C;✘
27;51;B;B;✓
27;52;D;B;✘
27;53;A;B;✘
27;54;C;A;✘
27;55;A;A;✓
27;56;D;D;✓
27;57;C;C;✓
27;58;B;B;✓
27;59;B;B;✓
27;60;A;A;✓
30;1;B;A;✘
30;2;B;B;✓
30;3;C;A;✘
30;4;E;E;✓
30;5;B;B;✓
30;6;A;A;✓
30;7;E;E;✓
30;8;B;C;✘
30;9;D;D;✓
30;10;B;B;✓
30;11;D;D;✓
30;12;B;B;✓
30;13;B;B;✓
30;14;C;C;✓
30;15;A;A;✓
30;16;D;D;✓
30;17;B;B;✓
30;18;E;D;✘
30;19;D;B;✘
30;20;A;A;✓
30;21;E;A;✘
30;22;E;E;✓
30;23;E;E;✓
30;24;C;C;✓
30;25;C;C;✓
30;26;A;A;✓
30;27;C;C;✓
30;28;D;D;✓
30;29;D;D;✓
30;30;D;B;✘
30;31;E;B;✘
30;32;C;C;✓
30;33;C;B;✘
30;34;A;A;✓
30;35;D;D;✓
30;36;B;B;✓
30;37;D;D;✓
30;38;B;B;✓
30;39;A;A;✓
30;40;D;C;✘
30;41;B;A;✘
30;42;E;A;✘
30;43;B;B;✓
30;44;D;D;✓
30;45;C;C;✓
30;46;B;B;✓
30;47;A;A;✓
30;48;C;C;✓
30;49;C;B;✘
30;50;D;C;✘
30;51;C;D;✘
30;52;B;B;✓
30;53;D;D;✓
30;54;E;D;✘
30;55;A;A;✓
30;56;C;C;✓
30;57;A;A;✓
30;58;A;A;✓
30;59;E;E;✓
30;60;A;A;✓
32;1;B;B;✓
32;2;D;D;✓
32;3;C;C;✓
32;4;E;A;✘
32;5;A;A;✓
32;6;A;A;✓
32;7;C;C;✓
32;8;A;A;✓
32;9;A;A;✓
32;10;D;D;✓
32;11;D;D;✓
32;12;B;B;✓
32;13;D;D;✓
32;14;B;B;✓
32;15;E;E;✓
32;16;D;A;✘
32;17;B;B;✓
32;18;A;A;✓
32;19;B;B;✓
32;20;B;B;✓
32;21;E;E;✓
32;22;B;B;✓
32;23;E;E;✓
32;24;B;B;✓
32;25;B;B;✓
32;26;B;B;✓
32;27;A;A;✓
32;28;D;C;✘
32;29;C;C;✓
32;30;D;C;✘
32;31;C;C;✓
32;32;E;D;✘
32;33;E;E;✓
32;34;E;E;✓
32;35;D;D;✓
32;36;B;B;✓
32;37;B;B;✓
32;38;C;C;✓
32;39;A;A;✓
32;40;D;D;✓
32;41;C;C;✓
32;42;C;C;✓
32;43;B;B;✓
32;44;C;B;✘
32;45;A;A;✓
32;46;E;E;✓
32;47;B;B;✓
32;48;A;A;✓
32;49;A;A;✓
32;50;D;C;✘
32;51;D;B;✘
32;52;E;E;✓
32;53;C;C;✓
32;54;B;A;✘
32;55;D;D;✓
32;56;A;A;✓
32;57;E;D;✘
32;58;D;C;✘
32;59;C;C;✓
32;60;A;A;✓
35;1;D;D;✓
35;2;B;B;✓
35;3;D;B;✘
35;4;A;A;✓
35;5;D;C;✘
35;6;A;C;✘
35;7;E;E;✓
35;8;E;E;✓
35;9;B;B;✓
35;10;B;C;✘
35;11;E;E;✓
35;12;A;A;✓
35;13;B;B;✓
35;14;A;A;✓
35;15;A;A;✓
35;16;A;C;✘
35;17;B;B;✓
35;18;D;C;✘
35;19;A;A;✓
35;20;B;D;✘
35;21;E;E;✓
35;22;A;A;✓
35;23;B;B;✓
35;24;B;B;✓
35;25;B;B;✓
35;26;E;E;✓
35;27;C;C;✓
35;28;C;C;✓
35;29;E;A;✘
35;30;D;D;✓
35;31;C;C;✓
35;32;C;C;✓
35;33;B;B;✓
35;34;B;B;✓
35;35;A;A;✓
35;36;A;A;✓
35;37;B;B;✓
35;38;C;D;✘
35;39;A;A;✓
35;40;B;B;✓
35;41;C;C;✓
35;42;E;E;✓
35;43;B;B;✓
35;44;C;C;✓
35;45;D;D;✓
35;46;E;E;✓
35;47;A;B;✘
35;48;A;A;✓
35;49;C;C;✓
35;50;E;C;✘
35;51;A;A;✓
35;52;D;C;✘
35;53;A;A;✓
35;54;C;A;✘
35;55;D;D;✓
35;56;A;B;✘
35;57;A;B;✘
35;58;A;A;✓
35;59;C;B;✘
35;60;A;A;✓
36;1;C;C;✓
36;2;D;D;✓
36;3;D;D;✓
36;4;A;A;✓
36;5;B;B;✓
36;6;D;B;✘
36;7;A;A;✓
36;8;C;C;✓
36;9;A;A;✓
36;10;D;C;✘
36;11;A;A;✓
36;12;C;C;✓
36;13;B;B;✓
36;14;B;B;✓
36;15;E;D;✘
36;16;A;A;✓
36;17;A;A;✓
36;18;B;B;✓
36;19;B;B;✓
36;20;A;A;✓
36;21;E;B;✘
36;22;E;E;✓
36;23;B;B;✓
36;24;B;B;✓
36;25;C;C;✓
36;26;A;A;✓
36;27;C;C;✓
36;28;C;C;✓
36;29;B;B;✓
36;30;D;C;✘
36;31;C;C;✓
36;32;A;A;✓
36;33;B;B;✓
36;34;E;C;✘
36;35;D;D;✓
36;36;A;A;✓
36;37;B;A;✘
36;38;C;B;✘
36;39;A;A;✓
36;40;E;E;✓
36;41;E;A;✘
36;42;B;A;✘
36;43;D;D;✓
36;44;C;B;✘
36;45;B;B;✓
36;46;C;C;✓
36;47;A;A;✓
36;48;D;A;✘
36;49;B;B;✓
36;50;C;C;✓
36;51;E;A;✘
36;52;D;A;✘
36;53;A;A;✓
36;54;D;D;✓
36;55;D;D;✓
36;56;B;B;✓
36;57;C;A;✘
36;58;E;E;✓
36;59;E;E;✓
36;60;A;A;✓
37;1;C;A;✘
37;2;B;A;✘
37;3;E;E;✓
37;4;E;D;✘
37;5;C;C;✓
37;6;A;A;✓
37;7;C;C;✓
37;8;A;A;✓
37;9;A;A;✓
37;10;B;B;✓
37;11;E;C;✘
37;12;B;D;✘
37;13;B;A;✘
37;14;D;D;✓
37;15;A;A;✓
37;16;E;E;✓
37;17;C;C;✓
37;18;E;E;✓
37;19;D;D;✓
37;20;B;B;✓
37;21;E;A;✘
37;22;A;A;✓
37;23;E;E;✓
37;24;B;B;✓
37;25;B;B;✓
37;26;D;D;✓
37;27;C;C;✓
37;28;A;B;✘
37;29;E;E;✓
37;30;D;D;✓
37;31;A;A;✓
37;32;D;D;✓
37;33;D;A;✘
37;34;B;A;✘
37;35;C;C;✓
37;36;A;A;✓
37;37;B;B;✓
37;38;C;C;✓
37;39;A;A;✓
37;40;B;B;✓
37;41;E;A;✘
37;42;C;A;✘
37;43;D;D;✓
37;44;C;C;✓
37;45;B;B;✓
37;46;D;D;✓
37;47;E;E;✓
37;48;A;A;✓
37;49;D;C;✘
37;50;B;B;✓
37;51;E;E;✓
37;52;C;C;✓
37;53;A;A;✓
37;54;D;D;✓
37;55;D;D;✓
37;56;C;C;✓
37;57;C;C;✓
37;58;A;A;✓
37;59;E;B;✘
37;60;A;A;✓
38;1;D;A;✘
38;2;B;A;✘
38;3;A;A;✓
38;4;A;A;✓
38;5;A;A;✓
38;6;*;A;✘
38;7;D;D;✓
38;8;D;D;✓
38;9;A;A;✓
38;10;A;A;✓
38;11;B;B;✓
38;12;A;A;✓
38;13;B;B;✓
38;14;D;D;✓
38;15;D;D;✓
38;16;E;E;✓
38;17;A;A;✓
38;18;A;A;✓
38;19;B;B;✓
38;20;C;B;✘
38;21;E;A;✘
38;22;E;A;✘
38;23;D;A;✘
38;24;B;B;✓
38;26;A;A;✓
38;27;E;A;✘
38;28;A;A;✓
38;29;C;B;✘
38;30;A;A;✓
38;31;A;A;✓
38;32;B;B;✓
38;33;E;D;✘
38;34;A;A;✓
38;35;A;A;✓
38;36;B;B;✓
38;37;B;B;✓
38;38;E;E;✓
38;39;E;E;✓
38;40;E;E;✓
38;41;D;A;✘
38;42;A;A;✓
38;43;D;A;✘
38;44;A;A;✓
38;45;C;B;✘
38;46;B;B;✓
38;47;A;C;✘
38;48;C;D;✘
38;49;B;B;✓
38;50;D;D;✓
38;51;C;C;✓
38;52;B;C;✘
38;53;D;D;✓
38;54;E;E;✓
38;55;D;A;✘
38;56;A;A;✓
38;57;C;B;✘
38;58;A;A;✓
38;59;B;B;✓
38;60;A;A;✓
39;1;D;D;✓
39;2;B;B;✓
39;3;A;A;✓
39;4;A;A;✓
39;5;D;D;✓
39;6;C;C;✓
39;7;D;D;✓
39;8;B;B;✓
39;9;A;A;✓
39;10;C;C;✓
39;11;B;B;✓
39;12;B;B;✓
39;13;C;C;✓
39;14;D;D;✓
39;15;B;B;✓
39;16;A;A;✓
39;17;B;B;✓
39;18;B;B;✓
39;19;C;C;✓
39;20;E;E;✓
39;21;D;D;✓
39;22;A;A;✓
39;23;C;C;✓
39;24;E;E;✓
39;25;C;C;✓
39;26;D;D;✓
39;27;B;B;✓
39;28;D;D;✓
39;29;B;B;✓
39;30;E;E;✓
39;31;E;D;✘
39;32;A;A;✓
39;33;C;C;✓
39;34;A;A;✓
39;35;C;C;✓
39;36;B;B;✓
39;37;B;A;✘
39;38;A;A;✓
39;39;D;C;✘
39;40;B;B;✓
39;41;E;E;✓
39;42;A;A;✓
39;43;B;B;✓
39;44;A;A;✓
39;45;E;C;✘
39;46;B;B;✓
39;47;A;B;✘
39;48;D;D;✓
39;49;C;C;✓
39;50;B;A;✘
39;51;D;D;✓
39;52;B;A;✘
39;53;C;C;✓
39;54;D;C;✘
39;55;A;A;✓
39;56;B;B;✓
39;57;E;E;✓
39;58;A;B;✘
39;59;E;E;✓
39;60;C;B;✘
40;1;D;B;✘
40;2;D;B;✘
40;3;D;D;✓
40;4;D;D;✓
40;5;D;D;✓
40;6;D;C;✘
